Time,Device,CPU,Memory,Latency,Errors,Traffic,Severity,Lead_Time,Reasons
2026-09-13 22:03:43,Router,20.1,35.88,10.17,0,49.24,LOW,Early warning (30+ seconds),"Unusual pattern detected, but no single metric clearly stands out"
2026-09-13 22:03:47,Router,18.88,36.24,10.09,1,50.85,LOW,Early warning (30+ seconds),"Unusual pattern detected, but no single metric clearly stands out"
2026-09-13 22:04:06,Firewall,18.66,33.45,11.11,0,66.03,LOW,Early warning (30+ seconds),"Unusual pattern detected, but no single metric clearly stands out"
2026-09-13 22:04:08,Firewall,18.6,48.46,11.29,0,61.76,LOW,Early warning (30+ seconds),"Unusual pattern detected, but no single metric clearly stands out"
2026-09-13 22:04:10,Firewall,16.96,63.92,11.15,0,60.69,LOW,Early warning (30+ seconds),"Unusual pattern detected, but no single metric clearly stands out"
2026-09-13 22:04:12,Firewall,17.7,86.17,11.95,0,61.96,MEDIUM,Near-term (10–30 seconds),High memory usage — possible memory leak
2026-09-13 22:04:14,Firewall,18.86,100,12.06,0,63.04,MEDIUM,Near-term (10–30 seconds),High memory usage — possible memory leak
2026-09-13 22:04:16,Firewall,18.18,100,11.62,0,66.05,MEDIUM,Near-term (10–30 seconds),High memory usage — possible memory leak
2026-09-13 22:04:18,Firewall,17.94,100,10.87,0,69.7,MEDIUM,Near-term (10–30 seconds),High memory usage — possible memory leak
2026-09-13 22:04:20,Firewall,19.68,100,10.47,0,65.42,MEDIUM,Near-term (10–30 seconds),High memory usage — possible memory leak
2026-09-13 22:04:22,Firewall,19.91,99.01,10.89,0,62.88,MEDIUM,Near-term (10–30 seconds),High memory usage — possible memory leak
2026-09-13 22:04:24,Firewall,21.16,98.74,11.48,1,67.74,MEDIUM,Near-term (10–30 seconds),High memory usage — possible memory leak
2026-09-13 22:04:26,Firewall,20.61,98.09,11.89,0,70.91,MEDIUM,Near-term (10–30 seconds),High memory usage — possible memory leak
2026-09-13 22:04:28,Firewall,19.88,97.12,11.85,0,69.26,MEDIUM,Near-term (10–30 seconds),High memory usage — possible memory leak
2026-09-13 22:04:30,Firewall,18.28,96.36,12.06,0,71.34,MEDIUM,Near-term (10–30 seconds),High memory usage — possible memory leak
2026-09-13 22:04:32,Switch,24.6,32.17,358.52,1,40.74,MEDIUM,Near-term (10–30 seconds),High latency — possible congestion or routing issue
2026-09-13 22:04:32,Firewall,16.51,95.56,11.7,0,74.25,MEDIUM,Near-term (10–30 seconds),High memory usage — possible memory leak
2026-09-13 22:04:33,Switch,22.8,32.35,411.35,0,38.33,MEDIUM,Near-term (10–30 seconds),High latency — possible congestion or routing issue
2026-09-13 22:04:34,Firewall,15.56,95.96,11.79,0,74.49,MEDIUM,Near-term (10–30 seconds),High memory usage — possible memory leak
2026-09-13 22:04:35,Switch,21.58,31.88,503.59,0,39.17,MEDIUM,Near-term (10–30 seconds),High latency — possible congestion or routing issue
2026-09-13 22:04:36,Firewall,14.02,96.53,10.9,1,76.58,MEDIUM,Near-term (10–30 seconds),High memory usage — possible memory leak
2026-09-13 22:04:37,Switch,20.46,31.88,579.04,0,35.76,MEDIUM,Near-term (10–30 seconds),High latency — possible congestion or routing issue
2026-09-13 22:04:38,Firewall,14.63,97.13,11.19,0,77.03,MEDIUM,Near-term (10–30 seconds),High memory usage — possible memory leak
2026-09-13 22:04:40,Firewall,16.02,97.62,11.86,0,72.56,MEDIUM,Near-term (10–30 seconds),High memory usage — possible memory leak
2026-09-13 22:04:42,Switch,22.08,31.47,578.8,0,35.63,MEDIUM,Near-term (10–30 seconds),High latency — possible congestion or routing issue
2026-09-13 22:04:42,Firewall,17.21,97.19,12.31,0,75.45,MEDIUM,Near-term (10–30 seconds),High memory usage — possible memory leak
2026-09-13 23:02:19,Router,17.42,36.04,11.45,0,49.58,LOW,Early warning (30+ seconds),"Unusual pattern detected, but no single metric clearly stands out"
2026-09-13 23:02:20,Router,17.89,36.58,11.99,14,51.84,MEDIUM,Near-term (10–30 seconds),High error count — possible cable/hardware/link issue
2026-09-13 23:02:23,Router,16.72,36.49,12.42,22,52.55,MEDIUM,Near-term (10–30 seconds),High error count — possible cable/hardware/link issue
2026-09-13 23:02:24,Router,14.77,35.52,12.39,36,48.02,MEDIUM,Near-term (10–30 seconds),High error count — possible cable/hardware/link issue
2026-09-13 23:02:26,Router,15.9,35.4,13.31,47,48.45,MEDIUM,Near-term (10–30 seconds),High error count — possible cable/hardware/link issue
