issue,action,success
NETWORK_DOWN,NETWORK_RESET,1
CPU_HIGH,KILL_PROCESS,1
MEMORY_HIGH,CLEAR_CACHE,1
LATENCY_HIGH,FLUSH_DNS,1
NETWORK_DOWN,NETWORK_RESET,1
CPU_HIGH,KILL_PROCESS,1
MEMORY_HIGH,CLEAR_CACHE,1
LATENCY_HIGH,FLUSH_DNS,1
NETWORK_DOWN,NETWORK_RESET,1
CPU_HIGH,KILL_PROCESS,1
MEMORY_HIGH,CLEAR_CACHE,1
LATENCY_HIGH,FLUSH_DNS,1
LATENCY_HIGH,FLUSH_DNS,1
NETWORK_DOWN,NETWORK_RESET,1
CPU_HIGH,KILL_PROCESS,1
MEMORY_HIGH,CLEAR_CACHE,1
LATENCY_HIGH,FLUSH_DNS,1
CPU_HIGH,KILL_PROCESS,1
MEMORY_HIGH,CLEAR_CACHE,1
NETWORK_DOWN,NETWORK_RESET,1
NETWORK_DOWN,NETWORK_RESET,1
CPU_HIGH,KILL_PROCESS,1
MEMORY_HIGH,CLEAR_CACHE,1
LATENCY_HIGH,FLUSH_DNS,1
NETWORK_DOWN,NETWORK_RESET,1
CPU_HIGH,KILL_PROCESS,1
MEMORY_HIGH,CLEAR_CACHE,1
LATENCY_HIGH,FLUSH_DNS,1
NETWORK_DOWN,NETWORK_RESET,1
CPU_HIGH,KILL_PROCESS,1
MEMORY_HIGH,CLEAR_CACHE,1
LATENCY_HIGH,FLUSH_DNS,1
NETWORK_DOWN,NETWORK_RESET,1
CPU_HIGH,KILL_PROCESS,1
MEMORY_HIGH,CLEAR_CACHE,1
LATENCY_HIGH,FLUSH_DNS,1
NETWORK_DOWN,NETWORK_RESET,1
CPU_HIGH,KILL_PROCESS,1
MEMORY_HIGH,CLEAR_CACHE,1
LATENCY_HIGH,FLUSH_DNS,1
NETWORK_DOWN,NETWORK_RESET,1
CPU_HIGH,KILL_PROCESS,1
MEMORY_HIGH,CLEAR_CACHE,1
LATENCY_HIGH,FLUSH_DNS,1
CPU_HIGH,KILL_PROCESS,1
MEMORY_HIGH,CLEAR_CACHE,1
NETWORK_DOWN,NETWORK_RESET,1
CPU_HIGH,KILL_PROCESS,1
MEMORY_HIGH,CLEAR_CACHE,1
NETWORK_DOWN,NETWORK_RESET,1
HIGH_ERRORS,FLAG_INTERFACE,1
NETWORK_DOWN,NETWORK_RESET,1
CPU_HIGH,KILL_PROCESS,1
MEMORY_HIGH,CLEAR_CACHE,1
LATENCY_HIGH,FLUSH_DNS,1
NETWORK_DOWN,NETWORK_RESET,1
CPU_HIGH,KILL_PROCESS,1
MEMORY_HIGH,CLEAR_CACHE,1
LATENCY_HIGH,FLUSH_DNS,1
NIC_ERRORS,FLAG_PORT,1
ROUTER_RTT,CHECK_GATEWAY,1
ROUTER_RTT,CHECK_GATEWAY,1
ROUTER_RTT,CHECK_GATEWAY,1
ROUTER_RTT,CHECK_GATEWAY,1
