Time,Network Status,CPU Usage,Memory Usage,AI Prediction,Risk
2026-09-13 22:03:06,UP,19.91,34.48,Normal,8.5
2026-09-13 22:03:08,UP,20.34,35.37,Normal,3.0
2026-09-13 22:03:08,UP,20.7,34.28,Normal,8.25
2026-09-13 22:03:12,UP,20.42,33.93,Normal,9.18
2026-09-13 22:03:38,UP,20.1,35.88,FAILURE PREDICTED,94.22
2026-09-13 22:03:43,UP,21.77,34.84,Normal,2.9
2026-09-13 22:03:43,UP,18.28,34.62,Normal,7.38
2026-09-13 22:03:46,UP,18.88,36.24,FAILURE PREDICTED,96.19
2026-09-13 22:03:47,UP,22.02,34.12,Normal,3.15
2026-09-13 22:03:47,UP,19.2,34.47,Normal,8.5
2026-09-13 22:03:49,UP,18.08,35.92,Normal,30.23
2026-09-13 22:03:49,UP,22.97,34.0,Normal,5.54
2026-09-13 22:03:49,UP,17.32,35.31,Normal,3.84
2026-09-13 22:03:51,UP,17.8,34.94,Normal,2.17
2026-09-13 22:03:51,UP,22.53,34.03,Normal,3.15
2026-09-13 22:03:51,UP,18.16,35.98,FAILURE PREDICTED,93.33
2026-09-13 22:03:54,UP,17.78,34.7,Normal,2.17
2026-09-13 22:03:54,UP,23.95,33.61,Normal,3.15
2026-09-13 22:03:55,UP,15.98,33.79,Normal,7.98
2026-09-13 22:03:55,UP,22.25,32.69,Normal,4.03
2026-09-13 22:03:55,UP,19.69,36.24,FAILURE PREDICTED,94.22
2026-09-13 22:03:57,UP,15.75,33.24,Normal,9.01
2026-09-13 22:03:57,UP,23.72,33.04,Normal,4.03
2026-09-13 22:03:59,UP,17.01,32.43,Normal,2.79
2026-09-13 22:04:00,UP,23.68,32.8,Normal,2.98
2026-09-13 22:04:00,UP,19.28,35.56,Normal,25.98
2026-09-13 22:04:01,UP,18.7,33.23,Normal,2.68
2026-09-13 22:04:01,UP,21.81,31.81,Normal,2.76
2026-09-13 22:04:01,UP,19.64,34.82,Normal,7.84
2026-09-13 22:04:03,UP,17.57,34.08,Normal,1.95
2026-09-13 22:04:03,UP,20.21,31.58,Normal,3.85
2026-09-13 22:04:03,UP,18.6,33.87,Normal,7.98
2026-09-13 22:04:05,UP,16.77,34.04,Normal,1.95
2026-09-13 22:04:05,UP,20.94,30.87,Normal,3.73
2026-09-13 22:04:05,UP,18.66,33.45,FAILURE PREDICTED,59.76
2026-09-13 22:04:07,UP,18.22,33.4,Normal,2.22
2026-09-13 22:04:07,UP,21.2,30.04,Normal,3.56
2026-09-13 22:04:07,UP,18.6,48.46,FAILURE PREDICTED,96.1
2026-09-13 22:04:09,UP,18.16,34.36,Normal,1.79
2026-09-13 22:04:09,UP,20.38,29.44,Normal,3.67
2026-09-13 22:04:09,UP,16.96,63.92,FAILURE PREDICTED,97.87
2026-09-13 22:04:11,UP,18.17,33.97,Normal,1.95
2026-09-13 22:04:11,UP,20.05,28.51,Normal,3.67
2026-09-13 22:04:11,UP,17.7,86.17,FAILURE PREDICTED,94.97
