timestamp,device,router_latency_ms,router_packet_loss,dns_latency_ms,dns_packet_loss,rssi_dbm,tx_rate_mbps,jitter_ms,nic_errors_per_sec,traffic_kbps,router_latency_rolling5,dns_latency_rolling5,rssi_rolling5,router_trend,dns_trend,rssi_trend,is_failure,failure_type,minutes_to_failure
1789892816.765546,Router,11.3,0.0,41.42,0.0,-55.1,240.5,0.28,0.01,49.46,11.3,41.42,-55.1,0.0,0.0,0.0,0,none,10.0
1789892816.7684891,Router,11.97,0.0,42.27,0.0,-55.4,241.2,0.28,0.25,49.4,11.64,41.84,-55.25,0.0,0.0,0.0,0,none,10.0
1789892816.7711356,Router,12.1,0.0,43.19,0.0,-55.1,244.2,0.29,0.27,45.2,11.79,42.29,-55.2,0.0,0.0,0.0,0,none,10.0
1789892816.7737226,Router,11.67,0.0,41.99,0.0,-54.8,245.6,0.29,0.45,47.81,11.76,42.22,-55.1,0.0,0.0,0.0,0,none,10.0
1789892816.7763093,Router,12.09,0.0,41.62,0.0,-55.2,245.3,0.3,0.58,45.89,11.83,42.1,-55.12,0.0,0.0,0.0,0,none,10.0
1789892816.778869,Router,11.52,0.0,40.42,0.0,-54.8,248.7,0.24,0.62,47.03,11.87,41.9,-55.06,0.22,-1.0,0.3,0,none,10.0
1789892816.7813942,Router,11.89,0.0,41.58,0.0,-54.8,248.2,0.23,0.58,41.72,11.85,41.76,-54.94,-0.08,-0.69,0.6,0,none,10.0
1789892816.7839363,Router,231.56,0.0,41.13,0.0,-54.5,246.2,87.91,0.41,40.17,55.75,41.35,-54.82,219.46,-2.06,0.6,1,router_latency_spike,0.0
1789892816.7864435,Router,412.5,0.0,40.19,0.0,-54.7,243.0,162.38,0.54,35.78,135.91,40.99,-54.8,400.83,-1.8,0.1,1,router_latency_spike,0.0
1789892816.7889538,Router,523.13,0.0,39.96,0.0,-54.6,239.9,206.98,0.7,30.39,238.12,40.66,-54.68,511.04,-1.66,0.6,1,router_latency_spike,0.0
1789892816.7915366,Router,9999.0,12.5,39.47,0.0,-54.5,238.6,206.98,0.64,31.74,2235.62,40.47,-54.62,9987.48,-0.95,0.3,1,router_latency_spike,0.0
1789892816.793769,Router,771.15,12.5,40.55,0.0,-54.5,241.5,257.52,0.67,29.78,2387.47,40.26,-54.56,759.26,-1.03,0.3,1,router_latency_spike,0.0
1789892816.7959962,Router,9999.0,25.0,41.03,0.0,-54.6,244.3,257.52,0.69,34.45,4340.96,40.24,-54.58,9767.44,-0.1,-0.1,1,router_latency_spike,0.0
1789892816.7985299,Router,1081.05,25.0,41.46,0.0,-54.8,242.1,295.78,0.64,30.14,4474.67,40.49,-54.6,668.55,1.27,-0.1,1,router_latency_spike,0.0
1789892816.8013148,Router,9999.0,37.5,41.03,0.0,-55.0,245.2,295.78,0.67,28.41,6369.84,40.71,-54.68,9475.87,1.07,-0.4,1,router_latency_spike,0.0
1789892816.8038054,Router,1422.46,37.5,41.06,0.0,-55.3,243.2,370.2,0.58,29.15,4654.53,41.03,-54.84,-8576.54,1.59,-0.8,1,router_latency_spike,0.0
1789892816.8063984,Router,1533.43,37.5,40.41,0.0,-55.1,245.5,381.43,0.68,31.13,4806.99,41.0,-54.96,762.28,-0.14,-0.6,1,router_latency_spike,0.0
1789892816.8090448,Router,1742.64,37.5,40.24,0.0,-54.8,249.2,344.24,0.53,34.41,3155.72,40.84,-55.0,-8256.36,-0.79,-0.2,1,router_latency_spike,0.0
